1	2585	66679	0.09	0.51	0.02	63.21	2.97	11.99	70.83	15.90	7.01	3.21	15.78
10	2760	50180	0.10	0.49	0.04	46.49	7.01	20.07	61.38	23.19	17.58	2.83	11.17
100	3020	47913	0.10	0.61	0.02	66.09	24.23	17.09	55.92	12.38	14.95	1.09	2.75
101	9159	67065	0.09	0.64	0.02	89.73	49.29	0.95	20.38	5.93	25.26	0.36	1.84
102	6694	144215	0.14	0.61	0.02	18.52	8.34	9.01	19.87	39.87	40.76	20.73	21.72
103	11157	105803	0.07	0.47	0.02	70.52	43.32	1.87	2.61	15.81	27.73	3.22	16.61
104	7984	170190	0.05	0.65	0.01	9.58	1.39	31.88	54.87	46.99	34.64	2.97	7.71
105	7953	188582	0.11	0.61	0.05	71.23	55.16	5.51	13.05	9.62	11.84	5.23	14.68
106	7812	122441	0.05	0.56	0.02	32.97	17.14	9.91	25.92	17.74	23.12	30.81	18.13
107	6267	151107	0.04	0.48	0.01	42.73	12.64	17.04	34.99	21.56	16.96	8.97	31.13
108	6920	113200	0.05	0.55	0.01	10.40	1.88	20.17	28.68	46.49	34.64	15.49	32.01
109	10174	247354	0.04	0.64	0.01	14.63	2.23	15.80	29.78	45.88	16.64	15.04	49.33
110	11652	172634	0.05	0.77	0.01	8.63	5.27	3.60	7.16	77.98	52.32	3.66	33.16
111	4942	116431	0.05	0.56	0.01	14.10	2.06	34.52	46.97	25.29	10.03	18.01	39.30
112	3232	112070	0.10	0.64	0.06	17.67	2.49	42.76	55.26	24.91	13.50	5.94	26.06
113	11045	120132	0.05	0.62	0.02	90.10	84.67	0.92	0.88	3.29	8.14	1.34	2.15
114	10944	202766	0.06	0.47	0.01	35.22	10.37	17.97	45.14	31.96	26.85	5.19	14.28
115	12923	171576	0.03	0.77	0.01	7.50	6.23	3.00	11.85	76.44	64.17	3.02	15.73
120	20798	113008	0.04	0.47	0.01	57.50	22.51	14.83	40.76	21.30	26.47	1.14	7.75
122	6301	138982	0.03	0.50	0.01	14.74	2.06	61.83	79.06	14.25	11.44	1.89	6.02
123	2556	98032	0.04	0.40	0.02	4.19	1.24	83.88	84.97	6.42	8.14	1.37	4.61
13	4594	93640	0.08	0.34	0.01	44.19	4.67	15.93	69.79	24.51	9.15	2.94	13.65
14	10094	20651	0.06	0.36	0.01	57.40	6.55	13.14	56.20	19.46	10.64	2.79	23.89
