Alabama,1990,1481703,18.35,11.308823529411763,29.658823529411762
Alabama,2000,2551713,23.360294117647065,13.570588235294117,36.93088235294118
Alabama,2015,3817479,28.922058823529408,18.161764705882348,47.08382352941176
Alaska,1990,498362,29.39999999999999,17.965217391304346,47.36521739130434
Alaska,2000,717725,30.22608695652174,18.843478260869563,49.0695652173913
Alaska,2015,1484610,31.99130434782609,22.482608695652175,54.47391304347826
Arizona,1990,1435908,27.55625,14.031250000000002,41.5875
Arizona,2000,2488932,31.7125,16.556250000000002,48.26875
Arizona,2015,3846357,35.949999999999996,20.9125,56.8625
Arkansas,1990,964323,17.157894736842106,9.92894736842105,27.086842105263155
Arkansas,2000,1531232,22.051315789473687,12.36973684210526,34.421052631578945
Arkansas,2015,2620399,29.309210526315802,16.602631578947364,45.91184210526316
California,1990,14358922,31.62372881355932,18.852542372881363,50.476271186440684
California,2000,23514388,33.30508474576271,21.657627118644072,54.962711864406785
California,2015,38951948,33.757627118644066,27.40338983050848,61.16101694915255
Colorado,1990,1642466,28.304687499999996,20.975000000000005,49.2796875
Colorado,2000,2539372,31.6578125,25.835937500000007,57.493750000000006
Colorado,2015,4578938,32.10312499999999,31.69062500000001,63.79375
Connecticut,1990,2148041,23.366666666666667,25.822222222222223,49.18888888888889
Connecticut,2000,3189123,25.266666666666666,29.75555555555555,55.02222222222221
Connecticut,2015,6006275,26.11111111111111,37.47777777777778,63.58888888888889
Delaware,1990,372722,22.825000000000003,18.65,41.475
Delaware,2000,571982,26.125,22.425,48.55
Delaware,2015,1072395,27.700000000000003,30.05,57.75
District of Columbia,1990,329160,18.6,33.3,51.9
District of Columbia,2000,318260,18.2,39.1,57.3
District of Columbia,2015,557345,15.5,58.5,74.0
Florida,1990,5166374,23.01029411764706,13.961764705882345,36.97205882352941
Florida,2000,7751117,26.777941176470584,16.816176470588236,43.59411764705882
Florida,2015,14931173,29.47352941176469,22.523529411764716,51.99705882352941
Georgia,1990,3043984,16.581250000000004,10.999374999999997,27.580625
Georgia,2000,5701293,21.843124999999993,14.047499999999994,35.890624999999986
Georgia,2015,10081483,28.036875,18.708749999999995,46.74562499999999
Hawaii,1990,536115,27.71666666666667,17.45,45.16666666666667
Hawaii,2000,765134,27.55,21.366666666666664,48.916666666666664
Hawaii,2015,1377713,33.46666666666666,29.666666666666668,63.133333333333326
Idaho,1990,473505,29.87333333333334,14.577777777777772,44.45111111111111
Idaho,2000,798629,32.988888888888894,17.482222222222227,50.47111111111112
Idaho,2015,1130814,35.373333333333335,21.762222222222217,57.135555555555555
Illinois,1990,5010400,23.156310679611654,12.841747572815532,35.998058252427185
Illinois,2000,8738312,28.942718446601933,15.78737864077669,44.730097087378624
Illinois,2015,17313173,33.68252427184465,21.638834951456314,55.32135922330096
Indiana,1990,2598925,19.53225806451613,11.720430107526882,31.252688172043015
Indiana,2000,4143020,23.79139784946237,14.608602150537644,38.40000000000001
Indiana,2015,5537406,29.239784946236572,19.941935483870978,49.181720430107546
Iowa,1990,1446478,23.313,13.090999999999994,36.403999999999996
Iowa,2000,1906755,28.44900000000001,16.395000000000003,44.84400000000001
Iowa,2015,3383909,34.08899999999999,22.017999999999994,56.106999999999985
Kansas,1990,1165749,26.421698113207544,14.639622641509435,41.06132075471698
Kansas,2000,1661540,31.247169811320763,18.07547169811322,49.32264150943398
Kansas,2015,3051755,35.33207547169811,23.34622641509433,58.67830188679244
Kentucky,1990,1343438,15.038016528925615,9.24876033057851,24.286776859504123
Kentucky,2000,2345581,19.874380165289256,11.6,31.474380165289254
Kentucky,2015,3807748,27.291735537190082,16.609090909090916,43.900826446281
Louisiana,1990,1888349,16.824615384615388,11.324615384615383,28.14923076923077
Louisiana,2000,2601684,20.347692307692306,13.369230769230764,33.71692307692307
Louisiana,2015,4100906,25.672307692307687,17.367692307692305,43.03999999999999
Maine,1990,685350,22.005882352941175,17.294117647058822,39.3
Maine,2000,1053067,25.341176470588234,20.8,46.141176470588235
Maine,2015,1406898,29.52352941176471,28.205882352941174,57.72941176470589
Maryland,1990,2628891,22.319999999999997,19.872,42.19199999999999
Maryland,2000,3874590,25.468000000000004,24.264000000000006,49.73200000000001
Maryland,2015,7686024,27.024000000000004,32.940000000000005,59.96400000000001
Massachusetts,1990,2751871,24.399999999999995,26.573333333333327,50.97333333333332
Massachusetts,2000,5624037,25.586666666666666,32.13333333333333,57.72
Massachusetts,2015,9774884,24.753333333333334,41.980000000000004,66.73333333333333
Michigan,1990,4681327,24.12857142857143,13.146428571428576,37.275000000000006
Michigan,2000,7709336,29.273809523809526,16.429761904761914,45.703571428571436
Michigan,2015,9040821,33.50952380952382,22.419047619047628,55.928571428571445
Minnesota,1990,2534882,24.652272727272734,13.797727272727274,38.45000000000001
Minnesota,2000,3825732,31.01022727272726,17.81363636363637,48.823863636363626
Minnesota,2015,6257807,35.75000000000001,24.098863636363628,59.84886363636363
Mississippi,1990,956104,18.926506024096387,11.77469879518072,30.70120481927711
Mississippi,2000,1524728,23.71445783132531,13.590361445783133,37.30481927710844
Mississippi,2015,2350872,30.29277108433734,17.563855421686753,47.85662650602409
Missouri,1990,2168135,18.208620689655174,10.875862068965512,29.084482758620688
Missouri,2000,3459281,23.23189655172413,13.559482758620685,36.791379310344816
Missouri,2015,5387766,28.46034482758619,18.906896551724127,47.367241379310315
Montana,1990,412219,26.384210526315794,15.973684210526315,42.35789473684211
Montana,2000,613132,30.87894736842106,19.385964912280702,50.264912280701765
Montana,2015,940488,33.7859649122807,25.05438596491229,58.84035087719299
